,values
rainfall_mean,57.0
vineyard_solar,86.0
temperature_mean,82.0
extreme_cold,146.0
insecticide_spraying_number_of_times_passes_per_year,33.0
petrol_vineyard,120.0
electricity_vineyard,117.0
diesel_vineyard,86.0
lpg_vineyard,72.0
slashing_number_of_times_passes_per_year,114.0
elev_Median,44.0
water_used,205.0
tonnes_grapes_harvested,186.0
fungicide_spraying_number_of_times_passes_per_year,78.0
total_fertiliser,78.0
extreme_heat,82.0
elev_Min ‡,10.0
aridity,93.0
area_harvested,223.0
elev_Range,43.0
herbicide_spraying_number_of_times_passes_per_year,39.0
elev_Max,14.0
giregion_Barossa Valley,5.0
giregion_Bendigo,13.0
giregion_Coonawarra,4.0
giregion_Currency Creek,1.0
giregion_Grampians,39.0
giregion_Heathcote,26.0
giregion_King Valley,9.0
giregion_Margaret River,5.0
giregion_McLaren Vale,34.0
giregion_Padthaway,4.0
giregion_Pemberton,29.0
giregion_Swan Hill,12.0
giregion_Wrattonbully,10.0
data_year_id_2012/2013,16.0
data_year_id_2014/2015,13.0
data_year_id_2016/2017,3.0
data_year_id_2018/2019,4.0
data_year_id_2019/2020,5.0
data_year_id_2020/2021,5.0
irrigation_energy_,13.0
irrigation_energy_0.50.5,6.0
irrigation_energy_diesel ,3.0
irrigation_energy_electricity ,23.0
irrigation_energy_electricity pressure ,24.0
irrigation_energy_electricity solar ,20.0
irrigation_energy_pressure ,2.0
irrigation_type_,49.0
irrigation_type_0.62225548902195620.3777445109780439,2.0
irrigation_type_0.9999999999999998,60.0
irrigation_type_1.0000000000000002,46.0
irrigation_type_dripper ,63.0
irrigation_type_dripper overhead_sprinkler ,6.0
irrigation_type_overhead_sprinkler ,13.0
water_type_,2.0
water_type_0.1041666666666666,10.0
water_type_1.1,1.0
water_type_1.25,3.0
water_type_1.3333333333333333,18.0
water_type_2.0,9.0
water_type_surface_water_dam ,2.0
