,values
biodiesel_vineyard,50.0
rainfall_mean,131.0
vineyard_solar,194.0
temperature_mean,137.0
extreme_cold,68.0
insecticide_spraying_number_of_times_passes_per_year,31.0
petrol_vineyard,348.0
electricity_vineyard,811.0
diesel_vineyard,349.0
lpg_vineyard,92.0
slashing_number_of_times_passes_per_year,745.0
elev_Median,125.0
water_used,672.0
tonnes_grapes_harvested,1111.0
fungicide_spraying_number_of_times_passes_per_year,613.0
total_fertiliser,225.0
extreme_heat,154.0
elev_Min ‡,44.0
aridity,69.0
area_harvested,246.0
elev_Range,61.0
herbicide_spraying_number_of_times_passes_per_year,291.0
elev_Max,30.0
giregion_Barossa Valley,6.0
giregion_Bendigo,2.0
giregion_Clare Valley,29.0
giregion_Coonawarra,10.0
giregion_Geelong,9.0
giregion_Margaret River,13.0
giregion_McLaren Vale,42.0
giregion_Mornington Peninsula,18.0
giregion_Padthaway,124.0
giregion_Rutherglen,19.0
nh_disease_0.0,98.0
cover_crops_,103.0
cover_crops_0.30.7,9.0
cover_crops_0.5,2.0
cover_crops_0.50.5,13.0
cover_crops_0.9999999999999998,3.0
cover_crops_1.0000000000000002,7.0
cover_crops_annual_cover_crop ,1.0
cover_crops_annual_cover_crop permanent_cover_crop_non_native ,13.0
cover_crops_bare_soil ,1.0
cover_crops_permanent_cover_crop_native ,45.0
cover_crops_permanent_cover_crop_non_native ,19.0
cover_crops_permanent_cover_crop_volunteer_sward ,18.0
irrigation_energy_,670.0
irrigation_energy_1.2,13.0
irrigation_energy_diesel ,16.0
irrigation_energy_electricity ,8.0
irrigation_energy_electricity pressure ,25.0
irrigation_energy_pressure ,9.0
irrigation_energy_solar ,11.0
irrigation_type_,308.0
irrigation_type_0.9999999999999998,4.0
irrigation_type_1.1111111111111112,18.0
irrigation_type_dripper ,54.0
irrigation_type_overhead_sprinkler ,3.0
water_type_,28.0
water_type_0.0833333333333333,2.0
water_type_0.5,21.0
water_type_0.75,16.0
water_type_2.5,10.0
water_type_5.0,4.0
water_type_8.0,1.0
water_type_9.0,8.0
water_type_river_water ,5.0
water_type_surface_water_dam ,20.0
