,vineyard_area,area_harvested,tonnes_grapes_harvested,water_used,total_tractor_passes,total_vineyard_fuel,total_vineyard_electricity,total_irrigation_area,synthetic_nitrogen_applied,organic_nitrogen_applied,synthetic_fertiliser_applied,organic_fertiliser_applied,area_not_harvested,total_irrigation_electricity,total_irrigation_fuel,vineyard_area_white_grapes,vineyard_area_red_grapes,river_water,groundwater,surface_water_dam,recycled_water_from_other_source,mains_water,other_water,water_applied_for_frost_control,bare_soil,annual_cover_crop,permanent_cover_crop_native,permanent_cover_crop_non_native,permanent_cover_crop_volunteer_sward,irrigation_energy_diesel,irrigation_energy_electricity,irrigation_energy_pressure,irrigation_energy_solar,irrigation_type_dripper,irrigation_type_flood,irrigation_type_non_irrigated,irrigation_type_overhead_sprinkler,irrigation_type_undervine_sprinkler,diesel_vineyard,electricity_vineyard,petrol_vineyard,vineyard_solar,vineyard_wind,lpg_vineyard,biodiesel_vineyard,nh_disease,nh_frost,nh_new_development,nh_non_sale,off_farm_income,highest_per_tonne,lowest_per_tonne,average_per_tonne,total_grape_revenue,total_operating_costs,cost_of_debt_servicing,gross_margin,operating_cost_per_ha,operating_cost_per_t,profit,prev_avg,total_fertiliser,data_year_id,giregion,fertilizer_s1,fertilizer_s2,fertilizer_s3,fertilizer_s4,fertilizer_s5,fertilizer_o1,fertilizer_o2,fertilizer_o3,fertilizer_o4,fertilizer_o5,grade,member_id,slashing_number_of_times_passes_per_year,fungicide_spraying_number_of_times_passes_per_year,herbicide_spraying_number_of_times_passes_per_year,insecticide_spraying_number_of_times_passes_per_year,profitable,year_order,elev_Median,elev_Max,elev_Min ‡,elev_Range,rainfall_mean,temperature_mean,extreme_cold,extreme_heat,aridity
0,83.0,83.0,502.0,124.0,0.0,16140.0,41692.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.2,48.8,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,12007.0,41692.0,4133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2012/2013,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,0,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
1,71.0,71.0,336.0,102.244,0.0,21268.98,29.8,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.657,33.587,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,17084.3,29.8,3674.68,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2013/2014,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,1,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
2,91.0,91.0,467.0,119.9,0.0,21030.63,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,45.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,16208.6,0.0,3652.03,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2014/2015,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,,2,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
3,97.0,97.0,697.364,129.45399999999998,0.0,17756.0,0.0,97.0,1000.0,0.0,800.0,495.0,0.0,73.0,0.0,1.4,95.6,82.83,45.69,0.0,0.0,0.934,0.0,0.0,0.0,0.0,0.0,48.5,48.5,0.0,73.0,24.0,0.0,97.0,0.0,0.0,0.0,0.0,17756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2295.0,2015/2016,Barossa Valley,Urea,0,0,0,0,Broiler litter,0,0,0,0,B,1,0,0,0,0,,3,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
4,97.0,97.0,953.0,91.82,0.0,25751.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,75.0,22.0,1.4,95.6,91.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,22.0,75.0,75.0,0.0,97.0,0.0,0.0,0.0,0.0,25751.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2016/2017,Barossa Valley,0,0,0,0,0,0,0,0,0,0,B,1,0,0,0,0,,4,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
5,110.0,110.0,749.471,116.772,0.0,26954.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,78.0,32.0,1.4,108.6,112.56,4.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,32.0,78.0,78.0,0.0,110.0,0.0,0.0,0.0,0.0,25928.0,0.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2017/2018,Barossa Valley,0,0,0,0,0,Composted green waste,0,0,0,0,B,1,0,0,0,0,,5,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
6,192.0,192.0,1176.0,185.55,0.0,29463.0,288413.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.62,68.55,44.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,29463.0,288413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2012/2013,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
7,192.0,192.0,1346.0,153.26,0.0,30057.0,209002.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.01,56.68,36.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,30057.0,209002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2013/2014,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,1,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
8,193.0,193.0,1021.0,272.02,0.0,27523.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,58.19,40.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,27523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2014/2015,Barossa Valley,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,2,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
9,192.0,192.0,1508.0,469.54999999999995,0.0,25682.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,166.0,25.0,25.16,166.84,172.0,154.4,143.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,25.0,166.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,25682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1812.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2015/2016,Barossa Valley,0,0,0,0,0,0,0,0,0,0,B,2,0,0,0,0,,3,278.0,596.0,112.0,484.0,220.0,19.0,0.9,20.0,0.33
