,values
fungicide_spraying_number_of_times_passes_per_year,59.0
area_harvested,254.0
vineyard_solar,30.0
aridity,29.0
extreme_heat,34.0
biodiesel_vineyard,16.0
tonnes_grapes_harvested,143.0
petrol_vineyard,126.0
temperature_mean,31.0
lpg_vineyard,10.0
electricity_vineyard,16.0
water_used,48.0
extreme_cold,18.0
elev_Min ‡,9.0
slashing_number_of_times_passes_per_year,21.0
elev_Median,6.0
insecticide_spraying_number_of_times_passes_per_year,12.0
herbicide_spraying_number_of_times_passes_per_year,11.0
rainfall_mean,11.0
elev_Max,11.0
total_fertiliser,24.0
elev_Range,9.0
giregion_Big Rivers Zone Other,4.0
giregion_Eden Valley,12.0
giregion_Gundagai,3.0
giregion_Heathcote,2.0
giregion_Hunter Valley,2.0
giregion_Mount Benson,1.0
giregion_Other,3.0
giregion_Padthaway,3.0
giregion_Riverina,2.0
nh_disease_0.0,1.0
cover_crops_10.097.5,1.0
cover_crops_101.63,6.0
cover_crops_103.0103.0,5.0
cover_crops_109.28,3.0
cover_crops_110.0,2.0
cover_crops_111.91322.57,5.0
cover_crops_122.0,1.0
cover_crops_126.25,7.0
cover_crops_140.0311.0,7.0
cover_crops_141.26,2.0
cover_crops_149.44,2.0
cover_crops_15.012.080.0,1.0
cover_crops_150.0,1.0
cover_crops_16.08.0240.0,9.0
cover_crops_160.0,4.0
cover_crops_173.4,10.0
cover_crops_180.36,1.0
cover_crops_181.26,3.0
cover_crops_1855.1,3.0
cover_crops_196.96214.89,5.0
cover_crops_198.0,3.0
cover_crops_20.025.015.0260.0,7.0
cover_crops_20.0298.084.0,8.0
cover_crops_207.0,2.0
cover_crops_214.0,5.0
cover_crops_22.73105.26,1.0
cover_crops_236.0,7.0
cover_crops_245.0,9.0
cover_crops_258.07,7.0
cover_crops_262.0,9.0
cover_crops_267.5,1.0
cover_crops_28.0,1.0
cover_crops_3.02.068.0358.0,13.0
cover_crops_3.030.028.0171.0,5.0
cover_crops_30.012.0,2.0
cover_crops_30.013.1,8.0
cover_crops_30.05.050.017.0,1.0
cover_crops_30.077.68,9.0
cover_crops_308.79,8.0
cover_crops_308.97,9.0
cover_crops_316.56123.3,20.0
cover_crops_319.61120.0,1.0
cover_crops_32.7,8.0
cover_crops_337.0,3.0
cover_crops_343.7696.1,10.0
cover_crops_350.0350.0,3.0
cover_crops_36.0300.088.2,10.0
cover_crops_363.0,3.0
cover_crops_374.4,1.0
cover_crops_375.0,2.0
cover_crops_385.5,11.0
cover_crops_386.0,6.0
cover_crops_390.050.0,5.0
cover_crops_40.0424.0,9.0
cover_crops_400.0,7.0
cover_crops_412.63,12.0
cover_crops_423.0,1.0
cover_crops_43.0,2.0
cover_crops_451.2,22.0
cover_crops_495.0,7.0
cover_crops_50.020.040.0100.0,2.0
cover_crops_506.0,1.0
cover_crops_55.44,3.0
cover_crops_59.57548.5288.6,1.0
cover_crops_60.4,2.0
cover_crops_64.58779.48,6.0
cover_crops_683.3,1.0
cover_crops_7.54.086.5,1.0
cover_crops_73.6,37.0
cover_crops_733.05,12.0
cover_crops_75.0431.0,2.0
cover_crops_77.0,1.0
cover_crops_77.277.2,3.0
cover_crops_83.85350.083.85,9.0
cover_crops_85.0,4.0
data_year_id_2012/2013,1.0
data_year_id_2015/2016,3.0
data_year_id_2016/2017,1.0
data_year_id_2019/2020,5.0
data_year_id_2020/2021,1.0
data_year_id_2021/2022,3.0
irrigation_energy_,2.0
irrigation_energy_134.010.0,2.0
irrigation_energy_187.0187.0,8.0
irrigation_energy_228.5,8.0
irrigation_energy_230.0230.0,11.0
irrigation_energy_245.0,13.0
irrigation_energy_27.0202.64,4.0
irrigation_energy_27.069.0,3.0
irrigation_energy_29.083.0,2.0
irrigation_energy_380.0,3.0
irrigation_energy_439.61,5.0
irrigation_energy_44.0,1.0
irrigation_energy_506.0,2.0
irrigation_energy_591.11,4.0
irrigation_energy_77.0,10.0
irrigation_energy_93.011.0,3.0
irrigation_energy_97.0,2.0
irrigation_type_109.28,6.0
irrigation_type_113.0,3.0
irrigation_type_114.0100.0,10.0
irrigation_type_122.0,1.0
irrigation_type_132.0,3.0
irrigation_type_139.65,3.0
irrigation_type_161.77,4.0
irrigation_type_180.0,1.0
irrigation_type_20.018.0176.0,6.0
irrigation_type_200.0,3.0
irrigation_type_202.0,1.0
irrigation_type_266.0,15.0
irrigation_type_270.0,2.0
irrigation_type_42.87,3.0
irrigation_type_430.53,11.0
irrigation_type_47.026.0,1.0
irrigation_type_500.0,10.0
irrigation_type_64.2,1.0
irrigation_type_66.49,2.0
irrigation_type_86.0,9.0
water_type_,1.0
water_type_1.7,1.0
water_type_1100.0,3.0
water_type_117.4,9.0
water_type_138.0,3.0
water_type_1400.0,7.0
water_type_159.0surface_water_dam ,2.0
water_type_1650.0,4.0
water_type_18.0109.0,1.0
water_type_1850.0,14.0
water_type_33.3663.210.9,28.0
water_type_334698.0,5.0
water_type_384.0,6.0
water_type_439.61,3.0
water_type_4649.4,16.0
water_type_500.0,9.0
water_type_520.0,2.0
water_type_597.0,9.0
water_type_650.0,9.0
water_type_8.8,3.0
water_type_800.0,1.0
water_type_97.118.3114.0,2.0
