,values
rainfall_mean,648.0
temperature_mean,437.0
elev_Median,295.0
extreme_heat,279.0
elev_Min ‡,187.0
aridity,58.0
elev_Range,131.0
elev_Max,29.0
giregion_Barossa Valley,5.0
giregion_Bendigo,7.0
giregion_Blackwood Valley,5.0
giregion_Geographe,54.0
giregion_Glenrowan,39.0
giregion_Gundagai,25.0
giregion_Heathcote,26.0
giregion_Henty,16.0
giregion_Kangaroo Island,8.0
giregion_Macedon Ranges,44.0
giregion_Mudgee,8.0
giregion_Pemberton,12.0
giregion_Pyrenees,51.0
giregion_Riverina,9.0
giregion_Rutherglen,30.0
giregion_Southern Fleurieu,9.0
giregion_Southern Flinders Ranges,8.0
giregion_Strathbogie Ranges,15.0
giregion_Swan District,22.0
giregion_Swan Hill,13.0
giregion_Tumbarumba,4.0
giregion_Yarra Valley,4.0
