,values
area_harvested,37.0
vineyard_solar,5.0
aridity,49.0
extreme_heat,20.0
tonnes_grapes_harvested,45.0
petrol_vineyard,26.0
temperature_mean,7.0
lpg_vineyard,1.0
water_used,25.0
extreme_cold,13.0
elev_Min ‡,30.0
slashing_number_of_times_passes_per_year,82.0
elev_Median,4.0
diesel_vineyard,36.0
insecticide_spraying_number_of_times_passes_per_year,67.0
herbicide_spraying_number_of_times_passes_per_year,76.0
rainfall_mean,19.0
elev_Max,14.0
total_fertiliser,1.0
elev_Range,3.0
giregion_Barossa Zone,2.0
giregion_Mornington Peninsula,3.0
giregion_Swan District,14.0
nh_disease_5.0,18.0
nh_disease_10.0,2.0
cover_crops_,5.0
cover_crops_0.116.4,2.0
cover_crops_100.0,24.0
cover_crops_103.42,5.0
cover_crops_2.0,3.0
cover_crops_25.77,3.0
cover_crops_3.5,3.0
cover_crops_39.69,1.0
cover_crops_40.064.0,2.0
cover_crops_5.0,3.0
cover_crops_5.98,19.0
cover_crops_63.72,2.0
cover_crops_7.02.027.0,4.0
cover_crops_8.0,1.0
data_year_id_2019/2020,8.0
data_year_id_2021/2022,25.0
irrigation_energy_100.0,3.0
irrigation_energy_12.0,1.0
irrigation_energy_2.0,5.0
irrigation_energy_38.46,2.0
irrigation_energy_4.04,5.0
irrigation_energy_4.4630.0,5.0
irrigation_energy_5.0,6.0
irrigation_type_100.0,1.0
water_type_0.026,3.0
water_type_10.00.04,2.0
water_type_150.0,8.0
water_type_2.0surface_water_dam ,4.0
water_type_200.0,9.0
water_type_47.0,4.0
water_type_5.0,3.0
water_type_86.02.0,8.0
