,values
fungicide_spraying_number_of_times_passes_per_year,569.0
area_harvested,264.0
vineyard_solar,60.0
aridity,106.0
extreme_heat,74.0
tonnes_grapes_harvested,154.0
petrol_vineyard,109.0
temperature_mean,50.0
lpg_vineyard,19.0
water_used,161.0
extreme_cold,44.0
elev_Min ‡,20.0
slashing_number_of_times_passes_per_year,146.0
elev_Median,25.0
diesel_vineyard,128.0
insecticide_spraying_number_of_times_passes_per_year,77.0
rainfall_mean,12.0
elev_Max,31.0
total_fertiliser,22.0
elev_Range,9.0
giregion_Barossa Zone,3.0
giregion_Beechworth,6.0
giregion_Canberra District,2.0
giregion_Clare Valley,1.0
giregion_Eden Valley,3.0
giregion_Geographe,1.0
giregion_Great Southern,1.0
giregion_Heathcote,1.0
giregion_Henty,11.0
giregion_Hunter Valley,13.0
giregion_Mornington Peninsula,8.0
giregion_Mudgee,1.0
giregion_Other,2.0
giregion_Padthaway,5.0
giregion_Rutherglen,7.0
giregion_Swan Hill,1.0
giregion_Upper Goulburn,12.0
giregion_Wrattonbully,1.0
nh_disease_0.0,2.0
nh_disease_0.1,2.0
nh_disease_0.29,1.0
nh_disease_1.214,13.0
nh_disease_1.42,11.0
nh_disease_2.2,11.0
cover_crops_,5.0
cover_crops_0.320.52,2.0
cover_crops_0.5277.0,6.0
cover_crops_0.712.95,5.0
cover_crops_1.41.25,4.0
cover_crops_1.54.0,3.0
cover_crops_10.017.7,5.0
cover_crops_10.021.0,1.0
cover_crops_10.025.6,5.0
cover_crops_10.07.4,21.0
cover_crops_10.074.08.0,3.0
cover_crops_10.2,5.0
cover_crops_10.32,15.0
cover_crops_10.44.6,6.0
cover_crops_10.48,3.0
cover_crops_10.52,3.0
cover_crops_10.6,13.0
cover_crops_100.69,13.0
cover_crops_100.95,1.0
cover_crops_101.63,9.0
cover_crops_11.0,1.0
cover_crops_11.07,6.0
cover_crops_11.29,2.0
cover_crops_11.2991.71,6.0
cover_crops_111.4,83.0
cover_crops_118.0,2.0
cover_crops_119.66,15.0
cover_crops_12.0,3.0
cover_crops_12.07,2.0
cover_crops_12.54,12.0
cover_crops_12.543.5,6.0
cover_crops_12.83,7.0
cover_crops_123.0,1.0
cover_crops_126.0,3.0
cover_crops_126.37,3.0
cover_crops_13.0,10.0
cover_crops_13.08.0,2.0
cover_crops_13.141.9,1.0
cover_crops_13.6,2.0
cover_crops_13.65,1.0
cover_crops_13.74,2.0
cover_crops_14.1,8.0
cover_crops_14.17,6.0
cover_crops_14.25,5.0
cover_crops_14.43,5.0
cover_crops_14.73,10.0
cover_crops_15.0,4.0
cover_crops_15.012.080.0,1.0
cover_crops_15.026.0,3.0
cover_crops_15.040.0,13.0
cover_crops_152.0,1.0
cover_crops_158.0,3.0
cover_crops_16.0,4.0
cover_crops_16.18,5.0
cover_crops_16.2,8.0
cover_crops_16.75,5.0
cover_crops_16.84,8.0
cover_crops_167.57,1.0
cover_crops_167.97,4.0
cover_crops_17.0,8.0
cover_crops_17.8,1.0
cover_crops_17.86,3.0
cover_crops_171.75,8.0
cover_crops_175.95,2.0
cover_crops_18.0,8.0
cover_crops_18.018.0,8.0
cover_crops_18.76,1.0
cover_crops_19.96,1.0
cover_crops_193.57,22.0
cover_crops_194.0,1.0
cover_crops_2.010.0,2.0
cover_crops_2.018.3,5.0
cover_crops_2.03.0,3.0
cover_crops_2.032.0,5.0
cover_crops_2.040.7935.79,8.0
cover_crops_2.053.0,3.0
cover_crops_2.06.0,5.0
cover_crops_2.070.87,6.0
cover_crops_2.62.6,6.0
cover_crops_2.78,4.0
cover_crops_20.0,1.0
cover_crops_20.017.0,6.0
cover_crops_20.017.5,1.0
cover_crops_20.018.7,2.0
cover_crops_20.020.0,2.0
cover_crops_20.025.037.0,1.0
cover_crops_20.046.94,10.0
cover_crops_20.238,16.0
cover_crops_21.951.12,23.0
cover_crops_22.26,5.0
cover_crops_22.724.0,7.0
cover_crops_22.73105.26,1.0
cover_crops_228.75,10.0
cover_crops_23.59,4.0
cover_crops_23.6,9.0
cover_crops_23.69,1.0
cover_crops_24.22,11.0
cover_crops_25.16,16.0
cover_crops_258.07,13.0
cover_crops_26.0,4.0
cover_crops_26.28permanent_cover_crop_non_native ,2.0
cover_crops_26.57,1.0
cover_crops_26.86624.91,14.0
cover_crops_26.95,17.0
cover_crops_27.0,1.0
cover_crops_27.3,1.0
cover_crops_28.0,4.0
cover_crops_29.2,1.0
cover_crops_3.037.937.9,1.0
cover_crops_3.07,2.0
cover_crops_3.34,13.0
cover_crops_3.432.0,5.0
cover_crops_3.630.063.0,4.0
cover_crops_3.836,8.0
cover_crops_30.29,14.0
cover_crops_30.33,4.0
cover_crops_31.0,2.0
cover_crops_32.1,1.0
cover_crops_32.7,9.0
cover_crops_34.09.0,1.0
cover_crops_35.619,11.0
cover_crops_36.8,15.0
cover_crops_37.01,8.0
cover_crops_37.78,9.0
cover_crops_39.5,3.0
cover_crops_4.091.54,6.0
cover_crops_4.1415.439,6.0
cover_crops_4.2,2.0
cover_crops_4.21,11.0
cover_crops_4.5,2.0
cover_crops_4.69,1.0
cover_crops_4.7,6.0
cover_crops_4.714.71,2.0
cover_crops_4.8,3.0
cover_crops_4.831.84,11.0
cover_crops_40.1,2.0
cover_crops_41.37,3.0
cover_crops_41.73,2.0
cover_crops_42.57,1.0
cover_crops_42.86,11.0
cover_crops_5.0,2.0
cover_crops_5.01,14.0
cover_crops_5.07.91,1.0
cover_crops_5.1,1.0
cover_crops_5.237.49,13.0
cover_crops_5.25.2,14.0
cover_crops_5.68,13.0
cover_crops_5.75,19.0
cover_crops_50.37,2.0
cover_crops_51.33,5.0
cover_crops_54.0,5.0
cover_crops_55.0,3.0
cover_crops_56.0,1.0
cover_crops_56.2,2.0
cover_crops_590.0,6.0
cover_crops_6.015.0,9.0
cover_crops_6.0725.87,8.0
cover_crops_6.075.231.418,11.0
cover_crops_6.77.7,3.0
cover_crops_6.81,7.0
cover_crops_60.17,2.0
cover_crops_61.61,6.0
cover_crops_61.97,16.0
cover_crops_62.0,1.0
cover_crops_62.278,1.0
cover_crops_7.0,3.0
cover_crops_7.019,12.0
cover_crops_7.05.9,2.0
cover_crops_7.06.4,5.0
cover_crops_7.3,4.0
cover_crops_7.37.3,17.0
cover_crops_7.52,21.0
cover_crops_7.70.75.3,4.0
cover_crops_7.945.228.78,5.0
cover_crops_7.96,2.0
cover_crops_74.7418.4,1.0
cover_crops_75.5,1.0
cover_crops_77.0,5.0
cover_crops_79.0,1.0
cover_crops_8.0,4.0
cover_crops_8.0124.0,1.0
cover_crops_8.04.0,3.0
cover_crops_8.12,14.0
cover_crops_8.48.4,1.0
cover_crops_8.49,1.0
cover_crops_8.5,3.0
cover_crops_8.58.5,2.0
cover_crops_8.988.98,6.0
cover_crops_83.8,6.0
cover_crops_85.13,5.0
cover_crops_88.2,6.0
cover_crops_89.0,1.0
cover_crops_9.29.2,11.0
cover_crops_9.41,2.0
cover_crops_9.71.42.9,5.0
cover_crops_90.0,1.0
cover_crops_90.6,10.0
cover_crops_93.59,2.0
cover_crops_94.26,2.0
cover_crops_bare_soil 8.015.0,10.0
cover_crops_permanent_cover_crop_non_native ,1.0
data_year_id_2019/2020,36.0
data_year_id_2020/2021,20.0
data_year_id_2021/2022,39.0
irrigation_energy_,2.0
irrigation_energy_0.6,1.0
irrigation_energy_10.32,2.0
irrigation_energy_10.4567.33,3.0
irrigation_energy_100.0,1.0
irrigation_energy_11.0,1.0
irrigation_energy_11.14,9.0
irrigation_energy_11.29,3.0
irrigation_energy_12.5,6.0
irrigation_energy_123.7123.7,2.0
irrigation_energy_13.0,1.0
irrigation_energy_13.013.0,2.0
irrigation_energy_13.113.1,1.0
irrigation_energy_13.5,3.0
irrigation_energy_13.6,1.0
irrigation_energy_14.06.0,3.0
irrigation_energy_14.7448.06,4.0
irrigation_energy_14.91,2.0
irrigation_energy_15.0,2.0
irrigation_energy_17.013.0,11.0
irrigation_energy_18.0,1.0
irrigation_energy_18.518.537.0,5.0
irrigation_energy_1912.0,25.0
irrigation_energy_20.0,3.0
irrigation_energy_20.39,6.0
irrigation_energy_21.19,3.0
irrigation_energy_22.8,6.0
irrigation_energy_228.5,4.0
irrigation_energy_23.6,1.0
irrigation_energy_24.0,2.0
irrigation_energy_25.030.0,1.0
irrigation_energy_26.026.0,7.0
irrigation_energy_26.45,7.0
irrigation_energy_28.0,5.0
irrigation_energy_28.028.0,2.0
irrigation_energy_3.03,11.0
irrigation_energy_3.56,7.0
irrigation_energy_30.0,4.0
irrigation_energy_30.010.0,1.0
irrigation_energy_30.87,2.0
irrigation_energy_30234.06780.0,3.0
irrigation_energy_31.0,11.0
irrigation_energy_33.0,2.0
irrigation_energy_34.5,5.0
irrigation_energy_34000.0,2.0
irrigation_energy_35.6,13.0
irrigation_energy_38.46,3.0
irrigation_energy_39.69,5.0
irrigation_energy_4.0,1.0
irrigation_energy_4.04,10.0
irrigation_energy_4.74.7,8.0
irrigation_energy_40.840.8,1.0
irrigation_energy_41.0,7.0
irrigation_energy_43.5,11.0
irrigation_energy_5.5,1.0
irrigation_energy_5.955.95,12.0
irrigation_energy_54.23,5.0
irrigation_energy_6.0,20.0
irrigation_energy_6.2,2.0
irrigation_energy_6.53,1.0
irrigation_energy_7.0,1.0
irrigation_energy_7.1,4.0
irrigation_energy_7.349,1.0
irrigation_energy_7.8,13.0
irrigation_energy_71.07,2.0
irrigation_energy_8.25,18.0
irrigation_energy_8.43,2.0
irrigation_energy_8.5,2.0
irrigation_energy_8.8,6.0
irrigation_energy_80.0,2.0
irrigation_energy_82.9,8.0
irrigation_energy_90.0,7.0
irrigation_energy_93.0,1.0
irrigation_energy_97.020.0,1.0
irrigation_energy_98.020.0,2.0
irrigation_type_12.0,2.0
irrigation_type_12.012.0,26.0
irrigation_type_12.52.5,3.0
irrigation_type_14.35,5.0
irrigation_type_15.0,2.0
irrigation_type_17.84,1.0
irrigation_type_18.0,4.0
irrigation_type_2.0,1.0
irrigation_type_23.6,3.0
irrigation_type_23.739.6,4.0
irrigation_type_24.0,1.0
irrigation_type_26.0,1.0
irrigation_type_28.0,2.0
irrigation_type_29.023.1,2.0
irrigation_type_30.0,1.0
irrigation_type_31.31,8.0
irrigation_type_35.0non_irrigated ,12.0
irrigation_type_37.0,1.0
irrigation_type_4.0,4.0
irrigation_type_4.015.0,3.0
irrigation_type_40.0,2.0
irrigation_type_41.76,3.0
irrigation_type_5.35,1.0
irrigation_type_5.6,1.0
irrigation_type_6.8,5.0
irrigation_type_7.3,6.0
irrigation_type_8.0,1.0
irrigation_type_8.86,3.0
irrigation_type_dripper ,5.0
water_type_1.324,3.0
water_type_1.7,3.0
water_type_10.7,2.0
water_type_11.5,3.0
water_type_119.0,2.0
water_type_1198.421,1.0
water_type_13.67.023.6,9.0
water_type_136.0,4.0
water_type_14.3,3.0
water_type_15.0,1.0
water_type_15.52,2.0
water_type_1592.0,1.0
water_type_16.0,7.0
water_type_16.042.0,14.0
water_type_17.0,4.0
water_type_171.02.0,3.0
water_type_18.0,3.0
water_type_2.0,1.0
water_type_21.0,2.0
water_type_22.0,3.0
water_type_22.871,2.0
water_type_23.7,3.0
water_type_24.0,7.0
water_type_25.0,3.0
water_type_26.0,2.0
water_type_27.2517.25,14.0
water_type_3.0,3.0
water_type_30.0,1.0
water_type_31.0,2.0
water_type_35.0,10.0
water_type_4.07.0,6.0
water_type_40.0,10.0
water_type_46.46,4.0
water_type_46.5,1.0
water_type_5.0,2.0
water_type_5.14,3.0
water_type_5.25,5.0
water_type_5.8,2.0
water_type_57.0,5.0
water_type_6.43,1.0
water_type_61.22123.5219.75,7.0
water_type_64.311.441,5.0
water_type_660.0,4.0
water_type_68.0,1.0
water_type_7.0,3.0
water_type_76.18,4.0
water_type_79.26,11.0
water_type_86.0,2.0
water_type_96.0,3.0
water_type_surface_water_dam mains_water ,9.0
