,values
rainfall_mean,86.0
vineyard_solar,59.0
temperature_mean,34.0
extreme_cold,2.0
petrol_vineyard,82.0
diesel_vineyard,69.0
lpg_vineyard,17.0
slashing_number_of_times_passes_per_year,67.0
elev_Median,2.0
water_used,45.0
tonnes_grapes_harvested,63.0
fungicide_spraying_number_of_times_passes_per_year,150.0
total_fertiliser,14.0
extreme_heat,28.0
aridity,52.0
area_harvested,24.0
elev_Range,2.0
herbicide_spraying_number_of_times_passes_per_year,64.0
giregion_Barossa Zone,5.0
giregion_Beechworth,3.0
giregion_Goulburn Valley,42.0
giregion_Gundagai,5.0
giregion_Henty,1.0
giregion_Hunter Valley,6.0
giregion_McLaren Vale,1.0
giregion_Mornington Peninsula,1.0
giregion_Mount Gambier,7.0
giregion_Mudgee,16.0
giregion_Rutherglen,1.0
data_year_id_2019/2020,3.0
data_year_id_2020/2021,5.0
data_year_id_2021/2022,3.0
nh_disease_0.2368995633187773,4.0
nh_disease_0.2970387622691731,4.0
cover_crops_0.01016222834404650.9999999999999998,35.0
cover_crops_0.04932432432432430.9506756756756756,21.0
cover_crops_0.05181347150259060.7253886010362695,14.0
cover_crops_0.07001461405606480.9299853859439352,7.0
cover_crops_0.08620689655172410.6896551724137931,25.0
cover_crops_0.0943396226415094permanent_cover_crop_non_native ,5.0
cover_crops_0.1186239620403321,50.0
cover_crops_0.1248923341946597permanent_cover_crop_native ,4.0
cover_crops_0.1250.750.125,10.0
cover_crops_0.14285714285714282.357142857142857,7.0
cover_crops_0.15384615384615380.0769230769230769permanent_cover_crop_non_native 0.0769230769230769,20.0
cover_crops_0.19004383218534750.8099561678146525,5.0
cover_crops_0.26923076923076920.7692307692307693,3.0
cover_crops_0.3307493540051680.6692506459948321,1.0
cover_crops_0.39044943820224710.3904494382022471,1.0
cover_crops_0.53930348258706461.0788059701492536,19.0
cover_crops_0.5714285714285714,40.0
cover_crops_0.67275155832591270.4723953695458592,1.0
cover_crops_0.6729475100942127,41.0
cover_crops_0.69178082191780820.5,20.0
cover_crops_0.72972972972972970.2702702702702703,32.0
cover_crops_0.8510638297872340.851063829787234,41.0
cover_crops_0.8571428571428571,32.0
