,values
rainfall_mean,179.0
vineyard_solar,690.0
temperature_mean,261.0
extreme_cold,349.0
insecticide_spraying_number_of_times_passes_per_year,158.0
petrol_vineyard,1094.0
electricity_vineyard,123.0
diesel_vineyard,1529.0
lpg_vineyard,234.0
slashing_number_of_times_passes_per_year,276.0
elev_Median,170.0
water_used,1387.0
tonnes_grapes_harvested,1432.0
fungicide_spraying_number_of_times_passes_per_year,399.0
total_fertiliser,363.0
extreme_heat,351.0
elev_Min ‡,259.0
aridity,196.0
area_harvested,1666.0
elev_Range,258.0
herbicide_spraying_number_of_times_passes_per_year,301.0
elev_Max,166.0
giregion_Barossa Valley,19.0
giregion_Barossa Zone,2.0
giregion_Bendigo,40.0
giregion_Coonawarra,5.0
giregion_Currency Creek,15.0
giregion_Eden Valley,9.0
giregion_Grampians,100.0
giregion_Henty,39.0
giregion_Hunter Valley,4.0
giregion_Margaret River,28.0
giregion_McLaren Vale,105.0
giregion_Mornington Peninsula,21.0
giregion_Mount Benson,36.0
giregion_Other,25.0
giregion_Padthaway,90.0
giregion_Southern Flinders Ranges,1.0
giregion_Swan Hill,46.0
giregion_Wrattonbully,1.0
giregion_Yarra Valley,7.0
data_year_id_2012/2013,115.0
data_year_id_2013/2014,118.0
data_year_id_2014/2015,149.0
data_year_id_2015/2016,118.0
data_year_id_2016/2017,41.0
data_year_id_2017/2018,77.0
data_year_id_2018/2019,81.0
data_year_id_2019/2020,25.0
data_year_id_2020/2021,60.0
data_year_id_2021/2022,93.0
cover_crops_,52.0
cover_crops_0.14772727272727270.8522727272727273,16.0
cover_crops_0.16666666666666660.8333333333333334,21.0
cover_crops_0.37203495630461920.6279650436953809,24.0
cover_crops_0.3750.625,8.0
cover_crops_0.5,13.0
cover_crops_0.50.5,25.0
cover_crops_0.67981691368788140.3201830863121185,3.0
cover_crops_0.750.25,28.0
cover_crops_0.80.2,12.0
cover_crops_1.0000000000000002,55.0
cover_crops_annual_cover_crop ,128.0
cover_crops_annual_cover_crop permanent_cover_crop_non_native ,4.0
cover_crops_annual_cover_crop permanent_cover_crop_volunteer_sward ,44.0
cover_crops_bare_soil ,85.0
cover_crops_permanent_cover_crop_native ,88.0
cover_crops_permanent_cover_crop_non_native ,85.0
cover_crops_permanent_cover_crop_non_native permanent_cover_crop_volunteer_sward ,1.0
cover_crops_permanent_cover_crop_volunteer_sward ,170.0
irrigation_type_,35.0
irrigation_type_0.50.5,60.0
irrigation_type_0.83333333333333340.1666666666666666,4.0
irrigation_type_0.9999999999999998,76.0
irrigation_type_1.0000000000000002,80.0
irrigation_type_dripper ,368.0
irrigation_type_overhead_sprinkler ,11.0
irrigation_type_undervine_sprinkler ,8.0
water_type_,10.0
water_type_0.125,83.0
water_type_0.5,6.0
water_type_0.75,31.0
water_type_0.8571428571428571,8.0
water_type_1.1976047904191618,13.0
water_type_1.2307692307692308,19.0
water_type_1.25,3.0
water_type_1.346153846153846,14.0
water_type_1.5,54.0
water_type_2.0,4.0
water_type_3.0973451327433628,23.0
water_type_5.181818181818182,9.0
water_type_5.842696629213483,4.0
water_type_6.8181818181818175,10.0
water_type_8.0,18.0
water_type_groundwater ,53.0
water_type_other_water ,5.0
water_type_recycled_water_from_other_source ,30.0
water_type_river_water ,11.0
water_type_surface_water_dam ,8.0
