,values
fungicide_spraying_number_of_times_passes_per_year,36.0
area_harvested,3679.0
vineyard_solar,54.0
aridity,120.0
extreme_heat,100.0
tonnes_grapes_harvested,505.0
petrol_vineyard,291.0
temperature_mean,205.0
lpg_vineyard,96.0
electricity_vineyard,137.0
water_used,411.0
extreme_cold,157.0
elev_Min ‡,59.0
slashing_number_of_times_passes_per_year,55.0
elev_Median,133.0
diesel_vineyard,369.0
insecticide_spraying_number_of_times_passes_per_year,48.0
herbicide_spraying_number_of_times_passes_per_year,62.0
rainfall_mean,104.0
elev_Max,114.0
total_fertiliser,89.0
elev_Range,75.0
giregion_Barossa Valley,30.0
giregion_Bendigo,22.0
giregion_Clare Valley,15.0
giregion_Coonawarra,45.0
giregion_Currency Creek,2.0
giregion_Eden Valley,8.0
giregion_Henty,2.0
giregion_Margaret River,55.0
giregion_McLaren Vale,61.0
giregion_Mount Benson,4.0
giregion_Padthaway,53.0
giregion_Southern Fleurieu,8.0
giregion_Swan Hill,11.0
giregion_Upper Goulburn,3.0
giregion_Wrattonbully,48.0
giregion_Yarra Valley,20.0
cover_crops_,42.0
cover_crops_10.0,9.0
cover_crops_10.020.0,11.0
cover_crops_11.0,19.0
cover_crops_11.5,44.0
cover_crops_110.0,56.0
cover_crops_12.0,18.0
cover_crops_12.026.0,4.0
cover_crops_12.4,15.0
cover_crops_13.0,11.0
cover_crops_13.4,20.0
cover_crops_14.0,18.0
cover_crops_14.014.0,9.0
cover_crops_14.1,10.0
cover_crops_14.2,43.0
cover_crops_14.5,34.0
cover_crops_15.0,11.0
cover_crops_16.0,17.0
cover_crops_16.06.0,2.0
cover_crops_17.0,19.0
cover_crops_18.0,27.0
cover_crops_19.0,32.0
cover_crops_2.0,13.0
cover_crops_20.0,12.0
cover_crops_21.0,32.0
cover_crops_22.0,20.0
cover_crops_23.0,24.0
cover_crops_23.8,41.0
cover_crops_24.0,29.0
cover_crops_24.2,47.0
cover_crops_25.0,35.0
cover_crops_26.0,18.0
cover_crops_26.010.0,18.0
cover_crops_27.0,24.0
cover_crops_28.0,21.0
cover_crops_29.0,41.0
cover_crops_3.0,22.0
cover_crops_3.03.0,4.0
cover_crops_3.5,25.0
cover_crops_3.7,12.0
cover_crops_30.0,17.0
cover_crops_31.0,31.0
cover_crops_32.0,24.0
cover_crops_33.0,20.0
cover_crops_35.0,17.0
cover_crops_39.0,23.0
cover_crops_4.0,5.0
cover_crops_4.4,31.0
cover_crops_40.0,15.0
cover_crops_42.0,11.0
cover_crops_43.0,17.0
cover_crops_44.0,34.0
cover_crops_47.0,21.0
cover_crops_48.0,6.0
cover_crops_5.0,3.0
cover_crops_5.2,33.0
cover_crops_5.3,23.0
cover_crops_5.5,29.0
cover_crops_50.0,14.0
cover_crops_52.0,31.0
cover_crops_54.0,16.0
cover_crops_55.0,23.0
cover_crops_56.0,42.0
cover_crops_57.0,5.0
cover_crops_6.0,7.0
cover_crops_6.512.5,13.0
cover_crops_60.0,19.0
