,0
0,-0.0009019635567228956
1,-5.685239451924673e-05
2,-0.24102779004926234
3,-0.018620583216203634
4,-0.4899076579524677
5,-0.004503874681255793
6,-0.0002995450787843801
7,-0.000193797935543083
8,-0.036948135075712374
9,-0.001797213132656017
10,-0.013268438731677934
11,-0.00011142025693966495
12,-0.006118587393585839
13,-0.00014433287634862957
14,-0.005768640845006612
15,-0.04265497858598777
16,-0.00144182033528506
17,-0.018033337807458638
18,-0.04848199233018602
19,-0.0072689556822198576
20,-0.0034577860832887275
21,-0.0012245768151755154
22,-0.05679103486456971
23,-4.8719448886958006e-05
24,-0.20929962844548755
25,-0.1911726276038206
26,-0.0011371785145295465
27,-0.09602820312657578
28,-0.0003385873704613296
29,-0.012101543105505597
30,-0.0403118552742876
31,-0.024339345751635433
32,-4.0879859516840256e-05
33,-0.0027762707525567087
34,-0.0020928979180807605
35,-1.5102505446229486e-07
36,-0.020912334612587458
37,-0.0003909719737387185
38,-0.0020049446220629097
39,-0.22906497864506958
40,-0.06714149805836511
41,-0.0007945735218817251
42,-0.0005593453398569093
43,-0.12901040589656665
44,-0.00023502575732003983
45,-0.015672713812974415
46,-0.027529175983479925
47,-0.04730328562047448
48,-1.0215999922902341e-05
49,-0.10816860984213905
50,-0.023170598717849433
51,-0.10843068608588613
52,-0.17454239139583372
53,-0.0011454487045592376
54,-0.00020690904249742736
55,-0.023843858327765366
56,-0.002252210161268975
57,-0.018850917116911114
58,-0.005643646155881754
59,-0.016237202819244567
60,-0.058572280144457256
61,-0.02652441738262845
62,-0.17600249833907888
63,-0.03845260782295323
64,-0.23650369430606855
65,-0.001298523372476268
66,-0.0012719211535963115
67,-0.1943330060648727
68,-0.0003248650919853713
69,-0.0037549306227568913
70,-0.009273757334816057
71,-0.03272765797078425
72,-0.012098861633033753
73,-0.014943004074400745
74,-0.0033233523513791496
75,-0.0007247565635406517
76,-0.024784765236754103
77,-0.10766581446259305
78,-0.0015938057726456734
79,-0.0001871602481640089
80,-0.04419660984334217
81,-6.92737402352428e-05
82,-0.021857987655240274
83,-0.017782144212320494
84,-0.03719948412030605
85,-0.011433237500037441
86,-0.0012988770944504235
87,-0.024580057724677085
88,-0.14932703450477214
89,-0.0010479680653818768
90,-0.0005680118707540593
91,-0.11205188769702379
92,-0.031090710751381145
93,-0.046068038619550666
94,-0.02859218728295243
95,-0.00597298051841455
96,-0.0002044892238639573
97,-5.2270044514912684e-08
98,-0.001400176622849969
99,-0.07534540065425022
