,values
fungicide_spraying_number_of_times_passes_per_year,202.0
area_harvested,364.0
vineyard_solar,27.0
aridity,135.0
extreme_heat,45.0
biodiesel_vineyard,2.0
tonnes_grapes_harvested,260.0
temperature_mean,41.0
lpg_vineyard,113.0
electricity_vineyard,115.0
water_used,146.0
extreme_cold,31.0
elev_Min ‡,26.0
slashing_number_of_times_passes_per_year,26.0
elev_Median,28.0
diesel_vineyard,265.0
insecticide_spraying_number_of_times_passes_per_year,3.0
herbicide_spraying_number_of_times_passes_per_year,27.0
rainfall_mean,10.0
elev_Max,11.0
total_fertiliser,41.0
elev_Range,45.0
giregion_0,1.0
giregion_Barossa Valley,2.0
giregion_Clare Valley,3.0
giregion_Coonawarra,1.0
giregion_Cowra,2.0
giregion_Grampians,1.0
giregion_Kangaroo Island,10.0
giregion_McLaren Vale,2.0
giregion_Mount Benson,1.0
giregion_Rutherglen,3.0
giregion_Strathbogie Ranges,3.0
giregion_Swan Hill,6.0
nh_disease_0.0,2.0
nh_disease_3.5,12.0
cover_crops_,3.0
cover_crops_0.543.3,16.0
cover_crops_10.0175.011.0,12.0
cover_crops_10.020.05.0,1.0
cover_crops_10.032.0,17.0
cover_crops_10.720.37,27.0
cover_crops_100.010.0,2.0
cover_crops_100.070.0100.0,2.0
cover_crops_101.63,2.0
cover_crops_103.42,2.0
cover_crops_103.494.050.0,7.0
cover_crops_109.71109.72,1.0
cover_crops_11.030.030.0,12.0
cover_crops_11.125184.795,8.0
cover_crops_11.83111.87,9.0
cover_crops_114.0,1.0
cover_crops_115.0,2.0
cover_crops_116.0,13.0
cover_crops_12.010.015.045.0,20.0
cover_crops_12.026.0,6.0
cover_crops_12.481.347.4516.25,2.0
cover_crops_12.481.347.4526.77,8.0
cover_crops_120.0,1.0
cover_crops_123.0,5.0
cover_crops_127.5,5.0
cover_crops_13.84,10.0
cover_crops_131.09186.55,1.0
cover_crops_137.0539.75,2.0
cover_crops_14.027.951.05,1.0
cover_crops_141.26,1.0
cover_crops_144.0,25.0
cover_crops_148.0,2.0
cover_crops_15.012.080.0,7.0
cover_crops_15.0386.9,1.0
cover_crops_152.0,1.0
cover_crops_158.0,3.0
cover_crops_16.052.0,12.0
cover_crops_16.0permanent_cover_crop_native 11.04.0,4.0
cover_crops_161.77,1.0
cover_crops_163.92,10.0
cover_crops_164.2,19.0
cover_crops_167.97,1.0
cover_crops_17.84,2.0
cover_crops_175.62,1.0
cover_crops_175.95,10.0
cover_crops_177.0,13.0
cover_crops_179.0,3.0
cover_crops_18.010.052.0,28.0
cover_crops_18.39.15,13.0
cover_crops_18.518.5,1.0
cover_crops_182.0,10.0
cover_crops_184.28,2.0
cover_crops_184.98,1.0
cover_crops_188.0,3.0
cover_crops_190.63190.63,14.0
cover_crops_192.0,2.0
cover_crops_197.29,8.0
cover_crops_2.927.047.04,1.0
cover_crops_20.018.7,2.0
cover_crops_20.0415.0,3.0
cover_crops_20.065.0,3.0
cover_crops_20.3,20.0
cover_crops_21.046.0,2.0
cover_crops_214.0,2.0
cover_crops_219.43,5.0
cover_crops_22.24,6.0
cover_crops_22.25,6.0
cover_crops_23.2,15.0
cover_crops_233.23,10.0
cover_crops_24.024.0,7.0
cover_crops_24.025.015.022.0,20.0
cover_crops_24.056.0,1.0
cover_crops_24.2,2.0
cover_crops_25.0389.0,1.0
cover_crops_253.08,2.0
cover_crops_258.07,6.0
cover_crops_260.0,2.0
cover_crops_263.04.058.0157.0,2.0
cover_crops_268.0,24.0
cover_crops_268.86,13.0
cover_crops_269.9,8.0
cover_crops_282.0,9.0
cover_crops_29.0permanent_cover_crop_native 18.7516.25,2.0
cover_crops_3.01569.0,4.0
cover_crops_3.01586.0,8.0
cover_crops_3.032.015.0,2.0
cover_crops_3.079.81,56.0
cover_crops_3.83.8,6.0
cover_crops_30.049.0,3.0
cover_crops_30.05.0,1.0
cover_crops_30.2,2.0
cover_crops_300.0,9.0
cover_crops_308.79,6.0
cover_crops_308.97,11.0
cover_crops_315.0,12.0
cover_crops_317.64,1.0
cover_crops_320.0,1.0
cover_crops_325.0,11.0
cover_crops_334.0,10.0
cover_crops_34.034.0,14.0
cover_crops_35.521.83,1.0
cover_crops_350.0350.0,2.0
cover_crops_36.0,4.0
cover_crops_360.0,1.0
cover_crops_363.0,6.0
