,values
vineyard_solar,3.0
temperature_mean,501.0
extreme_cold,156.0
elev_Median,150.0
extreme_heat,217.0
elev_Min ‡,33.0
aridity,149.0
elev_Range,174.0
elev_Max,93.0
giregion_Beechworth,39.0
giregion_Bendigo,6.0
giregion_Blackwood Valley,44.0
giregion_Canberra District,11.0
giregion_Clare Valley,1.0
giregion_Cowra,21.0
giregion_Eden Valley,8.0
giregion_Geelong,52.0
giregion_Geographe,47.0
giregion_Glenrowan,5.0
giregion_Goulburn Valley,3.0
giregion_Great Southern,25.0
giregion_Gundagai,2.0
giregion_Heathcote,5.0
giregion_Henty,29.0
giregion_Hunter Valley,9.0
giregion_Kangaroo Island,30.0
giregion_Margaret River,30.0
giregion_McLaren Vale,3.0
giregion_Mornington Peninsula,35.0
giregion_Padthaway,1.0
giregion_Pemberton,28.0
giregion_Pyrenees,19.0
giregion_Riverina,2.0
giregion_Riverland,35.0
giregion_Rutherglen,15.0
giregion_Southern Fleurieu,60.0
giregion_Southern Flinders Ranges,16.0
giregion_Southern Highlands,80.0
giregion_Strathbogie Ranges,16.0
giregion_Swan District,36.0
giregion_Upper Goulburn,19.0
