,values
biodiesel_vineyard,7.0
rainfall_mean,408.0
vineyard_solar,276.0
temperature_mean,169.0
extreme_cold,89.0
insecticide_spraying_number_of_times_passes_per_year,214.0
petrol_vineyard,433.0
electricity_vineyard,2.0
diesel_vineyard,387.0
lpg_vineyard,119.0
elev_Median,57.0
water_used,289.0
tonnes_grapes_harvested,313.0
fungicide_spraying_number_of_times_passes_per_year,290.0
total_fertiliser,95.0
extreme_heat,108.0
elev_Min ‡,39.0
aridity,35.0
area_harvested,344.0
elev_Range,25.0
herbicide_spraying_number_of_times_passes_per_year,209.0
elev_Max,12.0
giregion_Barossa Zone,10.0
giregion_Beechworth,12.0
giregion_Bendigo,1.0
giregion_Clare Valley,1.0
giregion_Coonawarra,10.0
giregion_Currency Creek,5.0
giregion_Eden Valley,1.0
giregion_Geographe,3.0
giregion_Goulburn Valley,5.0
giregion_King Valley,13.0
giregion_Margaret River,25.0
giregion_McLaren Vale,12.0
giregion_Mount Gambier,10.0
giregion_Mudgee,1.0
giregion_Rutherglen,19.0
giregion_Strathbogie Ranges,9.0
giregion_Swan District,1.0
giregion_Swan Hill,5.0
giregion_Wrattonbully,5.0
data_year_id_2012/2013,2.0
data_year_id_2017/2018,4.0
data_year_id_2019/2020,55.0
data_year_id_2020/2021,50.0
data_year_id_2021/2022,56.0
nh_disease_0.0,11.0
nh_disease_0.0501672240802675,3.0
nh_disease_0.1,1.0
nh_disease_0.1818181818181818,15.0
nh_disease_0.2048973712639539,6.0
nh_disease_0.4560669456066946,2.0
cover_crops_,27.0
cover_crops_0.00699300699300691.1538461538461535,12.0
cover_crops_0.01689708141321040.9831029185867896,6.0
cover_crops_0.02977346278317150.9879796578825706,2.0
cover_crops_0.0490316253983819permanent_cover_crop_non_native 0.8774209365040451,4.0
cover_crops_0.05678338097182520.9432166190281748,12.0
cover_crops_0.0582524271844660.29126213592233010.5631067961165048,6.0
cover_crops_0.07067851373182550.9995961227786754,1.0
cover_crops_0.07547169811320750.0301886792452830.9320754716981132,10.0
cover_crops_0.07874015748031490.0314960629921259,1.0
cover_crops_0.0943396226415094permanent_cover_crop_non_native ,1.0
cover_crops_0.1092896174863388annual_cover_crop ,1.0
