,values
rainfall_mean,302.0
vineyard_solar,1.0
extreme_cold,182.0
insecticide_spraying_number_of_times_passes_per_year,2.0
elev_Median,92.0
extreme_heat,134.0
elev_Min ‡,25.0
aridity,140.0
area_harvested,3.0
elev_Range,124.0
elev_Max,30.0
giregion_Beechworth,19.0
giregion_Bendigo,26.0
giregion_Blackwood Valley,27.0
giregion_Cowra,19.0
giregion_Eden Valley,10.0
giregion_Geelong,50.0
giregion_Geographe,31.0
giregion_Glenrowan,16.0
giregion_Great Southern,14.0
giregion_Gundagai,35.0
giregion_Henty,33.0
giregion_Hunter Valley,34.0
giregion_Kangaroo Island,47.0
giregion_Macedon Ranges,49.0
giregion_Margaret River,7.0
giregion_McLaren Vale,1.0
giregion_Mornington Peninsula,15.0
giregion_Mount Benson,20.0
giregion_Mudgee,9.0
giregion_Pemberton,6.0
giregion_Pyrenees,40.0
giregion_Riverina,23.0
giregion_Rutherglen,15.0
giregion_Southern Fleurieu,26.0
giregion_Strathbogie Ranges,13.0
giregion_Swan District,32.0
giregion_Wrattonbully,8.0
