,values
biodiesel_vineyard,10.0
rainfall_mean,286.0
vineyard_solar,105.0
temperature_mean,130.0
extreme_cold,71.0
insecticide_spraying_number_of_times_passes_per_year,125.0
petrol_vineyard,402.0
electricity_vineyard,78.0
diesel_vineyard,457.0
lpg_vineyard,110.0
slashing_number_of_times_passes_per_year,123.0
elev_Median,56.0
water_used,450.0
fungicide_spraying_number_of_times_passes_per_year,116.0
total_fertiliser,73.0
extreme_heat,45.0
elev_Min ‡,18.0
aridity,49.0
area_harvested,371.0
elev_Range,59.0
herbicide_spraying_number_of_times_passes_per_year,101.0
elev_Max,18.0
giregion_Barossa Valley,4.0
giregion_Big Rivers Zone Other,1.0
giregion_Canberra District,12.0
giregion_Coonawarra,1.0
giregion_Currency Creek,6.0
giregion_Eden Valley,1.0
giregion_Geographe,10.0
giregion_Goulburn Valley,1.0
giregion_Grampians,2.0
giregion_Heathcote,4.0
giregion_King Valley,35.0
giregion_Margaret River,2.0
giregion_McLaren Vale,16.0
giregion_Mornington Peninsula,2.0
giregion_Mount Gambier,1.0
giregion_Mudgee,1.0
giregion_Other,2.0
giregion_Padthaway,2.0
giregion_Pemberton,12.0
giregion_Southern Fleurieu,4.0
giregion_Strathbogie Ranges,1.0
giregion_Wrattonbully,4.0
data_year_id_2012/2013,20.0
data_year_id_2013/2014,20.0
data_year_id_2014/2015,26.0
data_year_id_2015/2016,27.0
data_year_id_2016/2017,47.0
data_year_id_2017/2018,20.0
data_year_id_2018/2019,33.0
data_year_id_2019/2020,74.0
data_year_id_2020/2021,25.0
data_year_id_2021/2022,26.0
nh_disease_0.0,1.0
nh_disease_0.0568454763811048,1.0
nh_disease_0.4560669456066946,7.0
nh_disease_1.67515923566879,36.0
cover_crops_,20.0
cover_crops_0.02304147465437780.93087557603686640.0460829493087557,1.0
cover_crops_0.0597014925373134,1.0
cover_crops_0.06593406593406590.71428571428571430.05494505494505490.1648351648351648,10.0
cover_crops_0.06976744186046510.75581395348837210.05813953488372090.1744186046511628,2.0
cover_crops_0.07092198581560280.09929078014184390.8297872340425532,1.0
cover_crops_0.07334963325183370.92665036674816640.9266503667481664,1.0
cover_crops_0.07725321888412010.9227467811158798,6.0
cover_crops_0.09239940387481370.9076005961251864,1.0
cover_crops_0.09859154929577460.16901408450704220.7323943661971831,31.0
cover_crops_0.09897070467141720.71100554235946160.1900237529691211,5.0
cover_crops_0.10429447852760730.8957055214723926,2.0
cover_crops_0.11111111111111110.84444444444444440.1555555555555555,3.0
cover_crops_0.1139471285323610.7812215132178670.2187784867821331,13.0
cover_crops_0.11764705882352940.2352941176470588,1.0
cover_crops_0.11764705882352940.8823529411764706,2.0
cover_crops_0.1250.750.125,2.0
cover_crops_0.1355932203389830.18159806295399510.08474576271186440.5932203389830509,2.0
cover_crops_0.14534883720930230.14534883720930230.3481104651162791,1.0
cover_crops_0.14772727272727270.8522727272727273,1.0
cover_crops_0.165,2.0
cover_crops_0.1886792452830188permanent_cover_crop_volunteer_sward ,1.0
cover_crops_0.20408163265306120.3401360544217687,3.0
cover_crops_0.2090909090909090.7909090909090909,1.0
cover_crops_0.23529411764705880.7647058823529411,6.0
cover_crops_0.23818181818181820.7618181818181818,1.0
cover_crops_0.24503882657463330.47454702329594480.2804141501294219,4.0
cover_crops_0.27331189710610930.8038585209003215,7.0
cover_crops_0.30.7,1.0
cover_crops_0.3086419753086419,1.0
cover_crops_0.31042128603104210.6895787139689579,3.0
cover_crops_0.3250.65,1.0
cover_crops_0.3295454545454545,2.0
cover_crops_0.33031458531935170.5872259294566253,3.0
cover_crops_0.33333333333333330.6666666666666666,5.0
cover_crops_0.36363636363636360.6363636363636364,7.0
cover_crops_0.3750.725,1.0
cover_crops_0.40655429454032630.763548452085152,6.0
cover_crops_0.41197604790419150.6179640718562873,2.0
cover_crops_0.42857142857142850.7142857142857143,1.0
cover_crops_0.46666666666666660.6666666666666666,1.0
cover_crops_0.49295774647887320.4929577464788732,5.0
cover_crops_0.49535192563081010.5046480743691899,12.0
cover_crops_0.5,3.0
cover_crops_0.50121261115602270.32336297493936940.1616814874696847,3.0
cover_crops_0.52.1666666666666665,4.0
cover_crops_0.52238805970149250.4776119402985074,14.0
cover_crops_0.57142857142857140.5357142857142857,1.0
cover_crops_0.5882352941176471,5.0
cover_crops_0.593750.40625,2.0
cover_crops_0.6022746781115881,1.0
cover_crops_0.66272189349112430.3372781065088757,1.0
cover_crops_0.66666666666666670.3333333333333333,8.0
cover_crops_0.67001675041876050.16750418760469010.1624790619765494,2.0
cover_crops_0.67981691368788140.3201830863121185,11.0
cover_crops_0.69333333333333340.3066666666666666,5.0
cover_crops_0.7,1.0
cover_crops_0.7060333761232350.6683782627299958,1.0
cover_crops_0.72881355932203380.2711864406779661,2.0
cover_crops_0.7619047619047619,1.0
cover_crops_0.7999999999999999,8.0
cover_crops_0.80634390651085140.3071786310517529,3.0
cover_crops_0.81412639405204460.1858736059479554,1.0
cover_crops_0.8245755860953920.1754244139046079,2.0
cover_crops_0.8571428571428571,2.0
cover_crops_0.8888888888888888,11.0
cover_crops_0.9090909090909092,1.0
cover_crops_0.92198581560283680.0780141843971631,10.0
cover_crops_0.9230769230769232,1.0
cover_crops_0.9272467902995720.0713266761768901,1.0
cover_crops_0.9583333333333334,17.0
cover_crops_0.9900990099009902,1.0
cover_crops_0.995758805089434,9.0
cover_crops_0.9990205680705192,6.0
cover_crops_0.9992688276870584,7.0
cover_crops_0.9997959600081616,1.0
cover_crops_0.999921266042044,3.0
cover_crops_1.0000000000000002,3.0
cover_crops_1.001509433962264,3.0
cover_crops_1.0039910202045397,9.0
cover_crops_1.0113780025284451,3.0
cover_crops_1.0121212121212122,2.0
cover_crops_1.0147710487444608,3.0
cover_crops_1.018491124260355,6.0
cover_crops_1.0221769873580455,1.0
cover_crops_1.0229516288252714,2.0
cover_crops_1.0235592606016672,9.0
cover_crops_1.0344827586206895,2.0
cover_crops_1.0371352785145889,4.0
cover_crops_1.0427350427350428,13.0
cover_crops_1.0433232794077325,1.0
cover_crops_1.049615975422427,1.0
cover_crops_1.0502344273275284,1.0
cover_crops_1.050251256281407,1.0
cover_crops_1.054127198917456,4.0
cover_crops_1.0601320820298925,8.0
cover_crops_1.0628342245989304,1.0
cover_crops_1.0731930466605673,5.0
cover_crops_1.0760456273764258,2.0
cover_crops_1.0859188544152747,2.0
cover_crops_1.08695652173913060.00043478260869560.1304347826086956,3.0
cover_crops_1.0943396226415094,3.0
cover_crops_1.1187019641332194,6.0
cover_crops_1.1359307359307358,2.0
cover_crops_1.1369509043927648,5.0
cover_crops_1.1468622515406648,6.0
cover_crops_1.1574074074074074,2.0
cover_crops_1.1666666666666667,1.0
