,values
vineyard_solar,1.0
diesel_vineyard,10.0
cover_crops_0.0322580645161290.48387096774193540.4838709677419354,1.0
cover_crops_0.39388145315487570.6061185468451242,4.0
cover_crops_0.63835616438356181.2219178082191784,1.0
cover_crops_0.66272189349112430.3372781065088757,8.0
cover_crops_0.750.04166666666666660.2083333333333333,17.0
cover_crops_1.054127198917456,21.0
cover_crops_1.1071428571428572,2.0
cover_crops_1.2541165999109924,18.0
cover_crops_1.27800829875518661.2780082987551866,18.0
cover_crops_1.32825484764542920.5401662049861495,10.0
cover_crops_1.381294964028777,16.0
cover_crops_1.7,3.0
cover_crops_1.7999999999999998,6.0
irrigation_energy_,1.0
irrigation_energy_0.3305785123966942pressure ,15.0
irrigation_energy_1.00000000000000020.6448438168592213,10.0
irrigation_energy_1.0290613193839,6.0
irrigation_type_0.97826086956521760.0217391304347826,10.0
irrigation_type_1.0000000000000002,1.0
water_type_0.6190476190476191,4.0
water_type_1.0309278350515465,9.0
water_type_1.566579634464752,1.0
water_type_1.7371767698177192,3.0
water_type_1.750.25,1.0
water_type_1.8947368421052630.0263157894736842,22.0
water_type_2.1356653829696195,15.0
water_type_2.16666666666666650.5,11.0
water_type_2.8328611898017,5.0
water_type_3.852380952380953,1.0
water_type_6.320138888888889,19.0
water_type_6.833333333333333,34.0
water_type_9.026315789473683,11.0
