,values
area_harvested,51.0
aridity,2.0
extreme_heat,3.0
tonnes_grapes_harvested,45.0
temperature_mean,1.0
lpg_vineyard,2.0
water_used,4.0
elev_Min ‡,3.0
elev_Median,2.0
diesel_vineyard,9.0
insecticide_spraying_number_of_times_passes_per_year,2.0
herbicide_spraying_number_of_times_passes_per_year,2.0
rainfall_mean,1.0
elev_Max,2.0
elev_Range,5.0
nh_disease_5.0,2.0
cover_crops_118.5110.0,2.0
cover_crops_134.015.0,6.0
cover_crops_168.0,7.0
cover_crops_7.033.025.0422.0,8.0
cover_crops_8.079.96,2.0
