,values
lpg_vineyard,71.0
elev_Range,124.0
slashing_number_of_times_passes_per_year,65.0
total_fertiliser,53.0
extreme_heat,38.0
vineyard_solar,55.0
fungicide_spraying_number_of_times_passes_per_year,83.0
biodiesel_vineyard,2.0
diesel_vineyard,130.0
elev_Median,15.0
elev_Min ‡,15.0
insecticide_spraying_number_of_times_passes_per_year,13.0
aridity,34.0
elev_Max,5.0
petrol_vineyard,51.0
temperature_mean,28.0
tonnes_grapes_harvested,169.0
extreme_cold,19.0
herbicide_spraying_number_of_times_passes_per_year,21.0
area_harvested,199.0
rainfall_mean,15.0
water_used,64.0
irrigation_type_102.384,12.0
irrigation_type_11.0,2.0
irrigation_type_11.29,11.0
irrigation_type_12.42,6.0
irrigation_type_123.0,3.0
irrigation_type_14.0,7.0
irrigation_type_14.040.64,1.0
irrigation_type_14.2,3.0
irrigation_type_14.352.28,3.0
irrigation_type_16.03,23.0
irrigation_type_160.95,1.0
irrigation_type_17.09,10.0
irrigation_type_18.39,8.0
irrigation_type_180.0,1.0
irrigation_type_19.0,5.0
irrigation_type_20.030.0,7.0
irrigation_type_21.1,8.0
irrigation_type_22.089.0,3.0
irrigation_type_23.8,13.0
irrigation_type_24.010.0,5.0
irrigation_type_24.3,17.0
irrigation_type_25.13,1.0
irrigation_type_25.66,14.0
irrigation_type_25.86,3.0
irrigation_type_26.0,1.0
irrigation_type_27.18,3.0
irrigation_type_28.57,2.0
irrigation_type_3.03,2.0
irrigation_type_31.02.0,2.0
irrigation_type_33.680.9474,21.0
irrigation_type_39.0,13.0
irrigation_type_4.3,2.0
irrigation_type_40.0,8.0
irrigation_type_40.6,9.0
irrigation_type_41.4,3.0
irrigation_type_43.1,1.0
irrigation_type_45.0,1.0
irrigation_type_48.892.44,25.0
irrigation_type_50.0,12.0
irrigation_type_50.82,16.0
irrigation_type_55.18,18.0
irrigation_type_6.810.1,6.0
irrigation_type_60.3,9.0
irrigation_type_61.4,19.0
irrigation_type_62.0,5.0
irrigation_type_66.0,22.0
irrigation_type_67.7,3.0
irrigation_type_70.0,16.0
irrigation_type_70.866.92,12.0
irrigation_type_71.07,4.0
irrigation_type_72.0,1.0
irrigation_type_84.75,4.0
irrigation_type_9.0,2.0
irrigation_type_98.0,15.0
irrigation_type_99.0,2.0
data_year_id_2019/2020,4.0
data_year_id_2020/2021,12.0
data_year_id_2021/2022,2.0
irrigation_energy_,2.0
irrigation_energy_13.012.0,1.0
irrigation_energy_15.030.045.030.0,12.0
irrigation_energy_179.0179.053.0,5.0
irrigation_energy_18.518.537.0,4.0
irrigation_energy_22.298.0,13.0
irrigation_energy_23.8,5.0
irrigation_energy_24.3,2.0
irrigation_energy_25.0,10.0
irrigation_energy_26.0,1.0
irrigation_energy_28.0,10.0
irrigation_energy_40.075.0,9.0
irrigation_energy_5.55.5,2.0
irrigation_energy_50.5450.54,1.0
irrigation_energy_65.0258.090.0,17.0
irrigation_energy_70.0,6.0
irrigation_energy_90.090.0,2.0
nh_disease_0.0,6.0
giregion_Barossa Zone,1.0
giregion_Canberra District,1.0
giregion_Heathcote,7.0
giregion_Southern Fleurieu,15.0
giregion_Swan Hill,3.0
cover_crops_,4.0
cover_crops_1.23.1,7.0
cover_crops_12.0,1.0
cover_crops_17.7957.68,4.0
cover_crops_25.0,8.0
cover_crops_26.0,6.0
cover_crops_28.0,6.0
cover_crops_30.0,10.0
cover_crops_30.5,1.0
cover_crops_33.0,9.0
cover_crops_47.0,19.0
cover_crops_85.13,1.0
cover_crops_9.0,1.0
water_type_,8.0
water_type_104.38,6.0
water_type_12.3,1.0
water_type_124.6,4.0
water_type_15.0,9.0
water_type_18.0,4.0
water_type_200.0,2.0
water_type_24.0,5.0
water_type_46.5,8.0
water_type_75.0,5.0
water_type_80.0,1.0
