,values
rainfall_mean,85.0
vineyard_solar,3.0
temperature_mean,124.0
extreme_cold,3.0
petrol_vineyard,34.0
electricity_vineyard,13.0
diesel_vineyard,12.0
lpg_vineyard,7.0
slashing_number_of_times_passes_per_year,2.0
elev_Median,10.0
water_used,1156.0
tonnes_grapes_harvested,42.0
fungicide_spraying_number_of_times_passes_per_year,9.0
extreme_heat,51.0
elev_Min ‡,16.0
aridity,17.0
area_harvested,83.0
elev_Range,70.0
herbicide_spraying_number_of_times_passes_per_year,6.0
elev_Max,7.0
giregion_Grampians,8.0
giregion_Margaret River,6.0
giregion_McLaren Vale,10.0
data_year_id_2017/2018,10.0
cover_crops_permanent_cover_crop_native ,6.0
cover_crops_permanent_cover_crop_non_native ,5.0
cover_crops_permanent_cover_crop_volunteer_sward ,2.0
irrigation_energy_,15.0
irrigation_energy_electricity ,13.0
irrigation_energy_pressure ,22.0
irrigation_energy_solar ,6.0
irrigation_type_dripper ,15.0
