,0
0,-0.0026061393687608625
1,-0.0018085746623428545
2,-0.00015584399778756364
3,-0.0021476208769573013
4,-0.0014651360902289134
5,-0.008180641164097668
6,-0.005036409395271946
7,-0.0027176568941056356
8,-0.0030900626051166835
9,-0.0016583805153229658
10,-0.0023255988655912496
11,-0.0016556413505932621
12,-0.0022277508615158315
13,-0.01199934106651801
14,-0.002796654441994173
15,-0.003328600391307557
16,-0.0006819510309414856
17,-0.0018371624793316332
18,-0.0016149063028261246
19,-0.2303448945211366
20,-0.0005197777513821222
21,-0.004561509975251177
22,-1.4551302153442691e-05
23,-0.0026020252657641407
24,-0.004352807790667823
25,-0.0074334472961932185
26,-0.001655635893164309
27,-0.0008534504711668056
28,-0.015530741821813798
29,-7.3018667308133445e-06
30,-0.001655630037868061
31,-9.246093114390064e-05
32,-0.0009523189771771801
33,-0.00125278204343382
34,-0.004008978297396659
35,-0.0028018249432208986
36,-0.00287814304526246
37,-0.009901502702642562
38,-0.004500027111075111
39,-0.3298082597151333
40,-0.000284750602591588
41,-0.0024147221409513975
42,-0.0025071889672088066
43,-0.01678771614127572
44,-0.0038714907907011487
45,-0.004413216717656043
46,-0.0016556309549575765
47,-0.0014327007146799353
48,-0.0025041038836768337
49,-0.00023365585132539834
50,-0.003316281972309598
51,-0.19321251091950264
52,-0.002512033271444336
53,-0.004703995008149775
54,-0.0016556334698409891
55,-0.006941267515173655
56,-0.003079378837044011
57,-0.000291627827751606
58,-0.00014331251095045516
59,-0.0009291593767009054
60,-0.003097761137924371
61,-0.0017275096409856694
62,-0.0047251116606292776
63,-0.004691926367216048
64,-0.00026173794995232313
65,-0.21867802319884566
66,-0.001001743769108776
67,-0.00019560768664295125
68,-0.008031201098578356
69,-0.0016583782990520213
70,-0.0012760620893936814
71,-0.003735775363212346
72,-0.0010182467665014183
73,-1.3255848361204414e-06
74,-0.007202382274065666
75,-0.0006417480666986997
76,-0.0016556343666782602
77,-0.0026171678855284597
78,-0.0049558892558179135
79,-0.0016194636217923275
80,-0.0002570870703026973
81,-0.001731557879597112
82,-0.0010613145285818248
83,-0.009334390486764432
84,-0.0035640189305079506
85,-0.0013337199181613357
86,-0.0036581136603397457
87,-0.002000320882051154
88,-0.0005196331904093743
89,-0.001658387737274003
90,-0.0015081682044510991
91,-0.0005000362043452444
92,-0.047548255918134386
93,-0.0027857766323253763
94,-0.0029748389453616575
95,-0.00014496390997953412
96,-0.0016556342185873874
97,-0.0020403709302330153
98,-0.0017085430628247522
99,-0.006146124316060764
