,2021/2022,2020/2021,2019/2020,2018/2019,2017/2018,2016/2017,2015/2016
Adelaide Hills,1928,1718,1619,1520,1373,1366,1349
Adelaide Plains,1015,1076,1037,998,905,866,918
Alpine Valleys,1106,1021,999,977,943,872,821
Barossa Valley,2033,2261,2126.5,1992,1928,1951,1812
Bendigo,1011,1144,1137,1130,971,791,944
Canberra District,,1868,1868,,,,1844
Clare Valley,1633,1503,1438,1373,1154,1158,1151
Coonawarra,1145,1318,1401,1484,1590,1131,1444
Cowra,,563,568.5,574,477,3830,4163
Currency Creek,1007,1152,1126.5,1101,1004,798,857
Eden Valley,2085,2192,2049.5,1907,1911,1766,1716
Geelong,2665,2430,1215,,2162,1801,1842
Geographe,1169,1101,1056,1011,911,965,634
Goulburn Valley,838,806,758.5,711,730,654,717
Grampians,1444,1440,1452,1464,1343,1230,1094
Great Southern,1883,1619,1682.5,1746,1335,1321,1292
Gundagai,1065,1044,901.5,759,710,585,419
Heathcote,1199,1437,1374.5,1312,1314,1109,1135
Hilltops,1425,1280,1182.5,1085,905,893,788
Hunter,1552,1448,1405.5,1363,1402,1202,1186
King Valley,1123,1052,1041,1030,1019,911,770
Langhorne Creek,842,953,1002,1051,908,779,766
Margaret River,1526,1419,1442,1465,1359,1418,1306
Mclaren Vale,1809,1946,1858.5,1771,1672,1596,1596
Mornington Peninsula,4133,3692,3350,3008,2957,3218,2568
Mount Benson,1089,1219,1190.5,1162,1243,1050,1167
Mount Gambier,,,,,899,939,861
Mudgee,1125,1117,1078.5,1040,755,713,744
Murray Darling,427,500,250,,,,
Swan Hill,430,485,477.5,470,402,357,312
Orange,1493,1622,1501.5,1381,1051,937,986
Padthaway,1044,984,1011,1038,945,862,854
Pemberton,1537,1422,1334.5,1247,1246,1199,1265
Pyreness,2001,1231,1351,1471,,1571,2014
Riverina,396,464,471,478,399,333,319
Riverland,391,486,479,472,391,343,310
Robe,1309,1171,1183,1195,1193,600,1277
Ruitherglen,1208,1214,1176.5,1139,1126,1005,1177
Souther Flinders Ranges,982,1091,545.5,,,1025,1090
Southern Fleurieu,952,1130,565,,1094,1088,1311
Strathbogie Ranges,1301,1346,1265.5,1185,1001,1008,1029
Swan District,960,907,887,867,849,832,814
Tasmania,3237,3146,2986.5,2827,2977,2871,2706
Upper Goulburn,,,609.5,1219,,1500,1385
Wrattonbully,1248,1052,1158.5,1265,1184,1041,970
Yarra Valley,2471,2169,2095.5,2022,1888,1878,1614
